hyp,tgt,label,hyp_normalized,tgt_normalized,hyp_sentences,tgt_sentences,hyp_tokens,tgt_tokens
He is a man with non-standard thinking.,He's a creative thinker.,Hallucination,he is a man with nonstandard thinking,he is a creative thinker,['he is a man with nonstandard thinking'],['he is a creative thinker'],"[['he', 'is', 'a', 'man', 'with', 'nonstandard', 'thinking']]","[['he', 'is', 'a', 'creative', 'thinker']]"
You need to be strict.,You have to be strict.,Not Hallucination,you need to be strict,you have to be strict,['you need to be strict'],['you have to be strict'],"[['you', 'need', 'to', 'be', 'strict']]","[['you', 'have', 'to', 'be', 'strict']]"
Where's that?,Where's that?,Not Hallucination,where is that,where is that,['where is that'],['where is that'],"[['where', 'is', 'that']]","[['where', 'is', 'that']]"
He's my uncle because my father is his brother.,"He's my uncle, since my dad is his brother.",Not Hallucination,he is my uncle because my father is his brother,he is my uncle since my dad is his brother,['he is my uncle because my father is his brother'],['he is my uncle since my dad is his brother'],"[['he', 'is', 'my', 'uncle', 'because', 'my', 'father', 'is', 'his', 'brother']]","[['he', 'is', 'my', 'uncle', 'since', 'my', 'dad', 'is', 'his', 'brother']]"
I think we know each other.,I feel like I know you.,Hallucination,i think we know each other,i feel like i know you,['i think we know each other'],['i feel like i know you'],"[['i', 'think', 'we', 'know', 'each', 'other']]","[['i', 'feel', 'like', 'i', 'know', 'you']]"
No one saw Tom today.,Nobody has seen Tom today.,Not Hallucination,no one saw tom today,nobody has seen tom today,['no one saw tom today'],['nobody has seen tom today'],"[['no', 'one', 'saw', 'tom', 'today']]","[['nobody', 'has', 'seen', 'tom', 'today']]"
"You didn't want to go, did you?","You didn't want to go, did you?",Not Hallucination,you did not want to go did you,you did not want to go did you,['you did not want to go did you'],['you did not want to go did you'],"[['you', 'did', 'not', 'want', 'to', 'go', 'did', 'you']]","[['you', 'did', 'not', 'want', 'to', 'go', 'did', 'you']]"
I don't even eat pork.,I don't eat pork at all.,Not Hallucination,i do not even eat pork,i do not eat pork at all,['i do not even eat pork'],['i do not eat pork at all'],"[['i', 'do', 'not', 'even', 'eat', 'pork']]","[['i', 'do', 'not', 'eat', 'pork', 'at', 'all']]"
I can't see you either.,I can't see you either.,Not Hallucination,i cannot see you either,i cannot see you either,['i cannot see you either'],['i cannot see you either'],"[['i', 'can', 'not', 'see', 'you', 'either']]","[['i', 'can', 'not', 'see', 'you', 'either']]"
We already have one.,We already have one.,Not Hallucination,we already have one,we already have one,['we already have one'],['we already have one'],"[['we', 'already', 'have', 'one']]","[['we', 'already', 'have', 'one']]"
Tom was sitting on the stairs.,Tom was sitting on the steps.,Hallucination,tom was sitting on the stairs,tom was sitting on the steps,['tom was sitting on the stairs'],['tom was sitting on the steps'],"[['tom', 'was', 'sitting', 'on', 'the', 'stairs']]","[['tom', 'was', 'sitting', 'on', 'the', 'steps']]"
Give me some time to think about it.,Give me a little time to think it over.,Not Hallucination,give me some time to think about it,give me a little time to think it over,['give me some time to think about it'],['give me a little time to think it over'],"[['give', 'me', 'some', 'time', 'to', 'think', 'about', 'it']]","[['give', 'me', 'a', 'little', 'time', 'to', 'think', 'it', 'over']]"
I'll never succeed.,I'll never make it.,Not Hallucination,i will never succeed,i will never make it,['i will never succeed'],['i will never make it'],"[['i', 'will', 'never', 'succeed']]","[['i', 'will', 'never', 'make', 'it']]"
"Since I'm unemployed, I can't save money.","Since I'm unemployed, I can't save up anything.",Not Hallucination,since i am unemployed i cannot save money,since i am unemployed i cannot save up anything,['since i am unemployed i cannot save money'],['since i am unemployed i cannot save up anything'],"[['since', 'i', 'am', 'unemployed', 'i', 'can', 'not', 'save', 'money']]","[['since', 'i', 'am', 'unemployed', 'i', 'can', 'not', 'save', 'up', 'anything']]"
She freaked out and yelled at me.,She lost her temper and shouted at me.,Not Hallucination,she freaked out and yelled at me,she lost her temper and shouted at me,['she freaked out and yelled at me'],['she lost her temper and shouted at me'],"[['she', 'freaked', 'out', 'and', 'yelled', 'at', 'me']]","[['she', 'lost', 'her', 'temper', 'and', 'shouted', 'at', 'me']]"
Tom helped us.,Tom was helping us.,Not Hallucination,tom helped us,tom was helping us,['tom helped us'],['tom was helping us'],"[['tom', 'helped', 'us']]","[['tom', 'was', 'helping', 'us']]"
Tom's gonna have to change plans.,Tom is going to have to change his plans.,Not Hallucination,toms going to have to change plans,tom is going to have to change his plans,['toms going to have to change plans'],['tom is going to have to change his plans'],"[['toms', 'going', 'to', 'have', 'to', 'change', 'plans']]","[['tom', 'is', 'going', 'to', 'have', 'to', 'change', 'his', 'plans']]"
I hope she's done a bunch of spaghetti.,I hope she's made lots of spaghetti.,Not Hallucination,i hope she is done a bunch of spaghetti,i hope she is made lots of spaghetti,['i hope she is done a bunch of spaghetti'],['i hope she is made lots of spaghetti'],"[['i', 'hope', 'she', 'is', 'done', 'a', 'bunch', 'of', 'spaghetti']]","[['i', 'hope', 'she', 'is', 'made', 'lots', 'of', 'spaghetti']]"
Soon we will be in Boston.,We'll be in Boston soon.,Not Hallucination,soon we will be in boston,we will be in boston soon,['soon we will be in boston'],['we will be in boston soon'],"[['soon', 'we', 'will', 'be', 'in', 'boston']]","[['we', 'will', 'be', 'in', 'boston', 'soon']]"
Did you receive an invitation from Tom?,Did you receive Tom's invitation?,Not Hallucination,did you receive an invitation from tom,did you receive toms invitation,['did you receive an invitation from tom'],['did you receive toms invitation'],"[['did', 'you', 'receive', 'an', 'invitation', 'from', 'tom']]","[['did', 'you', 'receive', 'toms', 'invitation']]"
Why are you always unhappy?,Why are you never satisfied?,Not Hallucination,why are you always unhappy,why are you never satisfied,['why are you always unhappy'],['why are you never satisfied'],"[['why', 'are', 'you', 'always', 'unhappy']]","[['why', 'are', 'you', 'never', 'satisfied']]"
I don’t know the local roads.,I don't know my way around.,Hallucination,i do not know the local roads,i do not know my way around,['i do not know the local roads'],['i do not know my way around'],"[['i', 'do', 'not', 'know', 'the', 'local', 'roads']]","[['i', 'do', 'not', 'know', 'my', 'way', 'around']]"
He has been told many times to do so.,Tom has been told to do that many times.,Not Hallucination,he has been told many times to do so,tom has been told to do that many times,['he has been told many times to do so'],['tom has been told to do that many times'],"[['he', 'has', 'been', 'told', 'many', 'times', 'to', 'do', 'so']]","[['tom', 'has', 'been', 'told', 'to', 'do', 'that', 'many', 'times']]"
Tom obviously doesn't know anyone.,It's obvious Tom doesn't know anything.,Hallucination,tom obviously does not know anyone,it is obvious tom does not know anything,['tom obviously does not know anyone'],['it is obvious tom does not know anything'],"[['tom', 'obviously', 'does', 'not', 'know', 'anyone']]","[['it', 'is', 'obvious', 'tom', 'does', 'not', 'know', 'anything']]"
When you want to go to see you.,I doubt that branch can support your weight.,Hallucination,when you want to go to see you,i doubt that branch can support your weight,['when you want to go to see you'],['i doubt that branch can support your weight'],"[['when', 'you', 'want', 'to', 'go', 'to', 'see', 'you']]","[['i', 'doubt', 'that', 'branch', 'can', 'support', 'your', 'weight']]"
I'm running faster than you.,I'm running faster than you.,Not Hallucination,i am running faster than you,i am running faster than you,['i am running faster than you'],['i am running faster than you'],"[['i', 'am', 'running', 'faster', 'than', 'you']]","[['i', 'am', 'running', 'faster', 'than', 'you']]"
You must be an idiot.,You must be a fool.,Not Hallucination,you must be an idiot,you must be a fool,['you must be an idiot'],['you must be a fool'],"[['you', 'must', 'be', 'an', 'idiot']]","[['you', 'must', 'be', 'a', 'fool']]"
I love learning something new.,I like to learn new things.,Not Hallucination,i love learning something new,i like to learn new things,['i love learning something new'],['i like to learn new things'],"[['i', 'love', 'learning', 'something', 'new']]","[['i', 'like', 'to', 'learn', 'new', 'things']]"
You'd better go help him.,You'd better go help him.,Not Hallucination,you would better go help him,you would better go help him,['you would better go help him'],['you would better go help him'],"[['you', 'would', 'better', 'go', 'help', 'him']]","[['you', 'would', 'better', 'go', 'help', 'him']]"
We took care of everything.,We've taken care of everything.,Not Hallucination,we took care of everything,we have taken care of everything,['we took care of everything'],['we have taken care of everything'],"[['we', 'took', 'care', 'of', 'everything']]","[['we', 'have', 'taken', 'care', 'of', 'everything']]"
"Almost jealous of me, Tom started laughing.","As soon as Tom saw me, he started laughing.",Hallucination,almost jealous of me tom started laughing,as soon as tom saw me he started laughing,['almost jealous of me tom started laughing'],['as soon as tom saw me he started laughing'],"[['almost', 'jealous', 'of', 'me', 'tom', 'started', 'laughing']]","[['as', 'soon', 'as', 'tom', 'saw', 'me', 'he', 'started', 'laughing']]"
I can't say that to my father.,I can't say that to my dad.,Not Hallucination,i cannot say that to my father,i cannot say that to my dad,['i cannot say that to my father'],['i cannot say that to my dad'],"[['i', 'can', 'not', 'say', 'that', 'to', 'my', 'father']]","[['i', 'can', 'not', 'say', 'that', 'to', 'my', 'dad']]"
I have already discussed this with Tom.,I've already discussed it with Tom.,Not Hallucination,i have already discussed this with tom,i have already discussed it with tom,['i have already discussed this with tom'],['i have already discussed it with tom'],"[['i', 'have', 'already', 'discussed', 'this', 'with', 'tom']]","[['i', 'have', 'already', 'discussed', 'it', 'with', 'tom']]"
I always stay late.,I always stay up late.,Not Hallucination,i always stay late,i always stay up late,['i always stay late'],['i always stay up late'],"[['i', 'always', 'stay', 'late']]","[['i', 'always', 'stay', 'up', 'late']]"
I would be surprised if Tom won.,I'd be surprised if Tom won.,Not Hallucination,i would be surprised if tom won,i would be surprised if tom won,['i would be surprised if tom won'],['i would be surprised if tom won'],"[['i', 'would', 'be', 'surprised', 'if', 'tom', 'won']]","[['i', 'would', 'be', 'surprised', 'if', 'tom', 'won']]"
"Listen to everyone! I should have told you before you jumped, but this pool is full of ferocious alligators and sharks. Don't worry, they start moving only when they feel the movement, so... just stay there for three to seventeen hours.","Hey, everyone! I should have told you this before you jumped in, but this pool is filled with ferocious alligators and sharks. Don't worry, they only seem to come out when they sense motion, so... just stay where you are for the next 3 to 17 hours.",Hallucination,listen to everyone i should have told you before you jumped but this pool is full of ferocious alligators and sharks do not worry they start moving only when they feel the movement so just stay there for three to seventeen hours,hey everyone i should have told you this before you jumped in but this pool is filled with ferocious alligators and sharks do not worry they only seem to come out when they sense motion so just stay where you are for the next 3 to 17 hours,['listen to everyone i should have told you before you jumped but this pool is full of ferocious alligators and sharks do not worry they start moving only when they feel the movement so just stay there for three to seventeen hours'],['hey everyone i should have told you this before you jumped in but this pool is filled with ferocious alligators and sharks do not worry they only seem to come out when they sense motion so just stay where you are for the next 3 to 17 hours'],"[['listen', 'to', 'everyone', 'i', 'should', 'have', 'told', 'you', 'before', 'you', 'jumped', 'but', 'this', 'pool', 'is', 'full', 'of', 'ferocious', 'alligators', 'and', 'sharks', 'do', 'not', 'worry', 'they', 'start', 'moving', 'only', 'when', 'they', 'feel', 'the', 'movement', 'so', 'just', 'stay', 'there', 'for', 'three', 'to', 'seventeen', 'hours']]","[['hey', 'everyone', 'i', 'should', 'have', 'told', 'you', 'this', 'before', 'you', 'jumped', 'in', 'but', 'this', 'pool', 'is', 'filled', 'with', 'ferocious', 'alligators', 'and', 'sharks', 'do', 'not', 'worry', 'they', 'only', 'seem', 'to', 'come', 'out', 'when', 'they', 'sense', 'motion', 'so', 'just', 'stay', 'where', 'you', 'are', 'for', 'the', 'next', '3', 'to', '17', 'hours']]"
